2L	1	21485538	2L	1	21485538	+
2L	21485640	22420241	2L	21485640	22420241	+
2L	22420343	22990368	2L	22527611	23097636	+
2L	22990370	22991634	2L	23097637	23098901	+
2L	22991636	22992682	2L	23098902	23099948	+
2L	22992684	22994054	2L	23099949	23101319	+
2L	22994056	22994216	2L	23101320	23101480	+
2L	22994218	22994245	2L	23101481	23101508	+
2L	22994247	22994329	2L	23101509	23101591	+
2L	22994331	22994830	2L	23101592	23102091	+
2L	22994832	22994845	2L	23102092	23102105	+
2L	22994846	22994992	2L	23102107	23102253	+
2L	22994994	22995096	2L	23102254	23102356	+
2L	22995098	22995130	2L	23102357	23102389	+
2L	22995131	22995227	2L	23102391	23102487	+
2L	22995231	22995253	2L	23102488	23102510	+
2L	22995254	22995363	2L	23102512	23102621	+
2L	22995364	22995389	2L	23102623	23102648	+
2L	22995391	22995487	2L	23102649	23102745	+
2L	22995488	22995759	2L	23102749	23103020	+
2L	22995760	22995766	2L	23103022	23103028	+
2L	22995768	22995877	2L	23103029	23103138	+
2L	22995879	22996024	2L	23103139	23103284	+
2L	22996026	22996041	2L	23103285	23103300	+
2L	22996042	22996274	2L	23103302	23103534	+
2L	22996276	22996533	2L	23103535	23103792	+
2L	22996534	22996539	2L	23103794	23103799	+
2L	22996540	22996555	2L	23103801	23103816	+
2L	22996557	22997039	2L	23103817	23104299	+
2L	22997041	22997075	2L	23104300	23104334	+
2L	22997076	22997163	2L	23104336	23104423	+
2L	22997164	22997553	2L	23104425	23104814	+
2L	22997554	22997677	2L	23104816	23104939	+
2L	22997679	22997747	2L	23104940	23105008	+
2L	22997748	22997808	2L	23105012	23105072	+
2L	22997810	22997844	2L	23105073	23105107	+
2L	22997845	22997932	2L	23105109	23105196	+
2L	22997933	22998071	2L	23105198	23105336	+
2L	22998072	22998078	2L	23105338	23105344	+
2LHet	1	16945	2L	23141527	23158471	+
2LHet	16946	17066	2L	23158473	23158593	+
2LHet	17068	17112	2L	23158594	23158638	+
2LHet	17155	17309	2L	23158639	23158793	+
2LHet	17310	17326	2L	23158795	23158811	+
2LHet	17327	17343	2L	23158813	23158829	+
2LHet	17344	17358	2L	23158831	23158845	+
2LHet	17359	17371	2L	23158847	23158859	+
2LHet	17372	17443	2L	23158861	23158932	+
2LHet	17444	17445	2L	23158934	23158935	+
2LHet	17447	62233	2L	23158936	23203722	+
2LHet	120235	132402	2L	23264719	23276886	+
2LHet	132403	135931	2L	23276888	23280416	+
2LHet	135932	161616	2L	23280418	23306102	+
2LHet	161618	215626	2L	23306103	23360111	+
2LHet	215627	219395	2L	23360126	23363894	+
2LHet	236962	241163	2L	23381793	23385994	+
2LHet	241164	290400	2L	23385996	23435232	+
2LHet	290401	334984	2L	23435234	23479817	+
2LHet	334985	348066	2L	23479819	23492900	+
2LHet	348068	348068	2L	23492901	23492901	+
2LHet	348070	348193	2L	23492902	23493025	+
2LHet	348194	368872	2L	23493034	23513712	+
2LHet	236881	236955	Y	1865818	1865892	-
2LHet	236868	236869	Y	1865893	1865894	-
2LHet	236835	236858	Y	1865895	1865918	-
2LHet	236819	236834	Y	1865920	1865935	-
2LHet	236818	236818	Y	1865950	1865950	-
2LHet	236737	236817	Y	1865954	1866034	-
2LHet	236468	236736	Y	1866036	1866304	-
2LHet	236453	236467	Y	1866320	1866334	-
2LHet	236419	236452	Y	1866336	1866369	-
2LHet	236182	236417	Y	1866370	1866605	-
2LHet	236174	236181	Y	1866608	1866615	-
2LHet	236135	236171	Y	1866616	1866652	-
2LHet	236129	236131	Y	1866653	1866655	-
2LHet	236117	236127	Y	1866656	1866666	-
2LHet	236110	236112	Y	1866667	1866669	-
2LHet	236099	236107	Y	1866670	1866678	-
2LHet	235763	236098	Y	1866681	1867016	-
2LHet	235678	235761	Y	1867017	1867100	-
2LHet	235677	235677	Y	1867106	1867106	-
2LHet	235675	235676	Y	1867108	1867109	-
2LHet	235670	235673	Y	1867110	1867113	-
2LHet	235668	235668	Y	1867114	1867114	-
2LHet	235092	235665	Y	1867115	1867688	-
2LHet	235067	235088	Y	1867689	1867710	-
2LHet	235059	235059	Y	1867711	1867711	-
2LHet	234779	235056	Y	1867712	1867989	-
2LHet	234207	234774	Y	1867990	1868557	-
2LHet	234111	234205	Y	1868558	1868652	-
2LHet	233943	234108	Y	1868653	1868818	-
2LHet	233691	233928	Y	1868819	1869056	-
2LHet	233574	233678	Y	1869057	1869161	-
2LHet	233433	233571	Y	1869162	1869300	-
2LHet	233412	233432	Y	1869302	1869322	-
2LHet	233390	233410	Y	1869323	1869343	-
2LHet	233383	233386	Y	1869344	1869347	-
